directory, file,TestType, pass or expected fail,schemaPath,  search term, @id tool linkage, notes
Dataset/allgood,argoSimple-v1Shapes.json,SHACL UI,warning,../OtherResources/GeoCodesv1UIShapes.ttl,,,"warning--publication date, keywords; info--identifier in propertyValue, publisher or provider"
Dataset/allgood,argoSimple-v1Shapes.json,SHACL basic,info,../OtherResources/GeoCodesv1Shapes.ttl,,,info-identifier in properyValue
Dataset/allgood,argoSimple-v1Shapes.json,SHACL recommended,info,../OtherResources/GeoCodesv1RecommendedShapes.ttl,,,"warning--keywords; info--other identifiers, responsible party"
Dataset/allgood,bcodmo1-20220707,SHACL basic,pass,../OtherResources/GeoCodesv1Shapes.ttl,,,
Dataset/allgood,bcodmo1,SHACL basic,info,../OtherResources/GeoCodesv1Shapes.ttl,,,identifier in propertyValue
Dataset/allgood,MB_amgeo_data-01-06-2013-17-30-00.json,SHACL basic,warning,../OtherResources/GeoCodesv1Shapes.ttl,,,"no license, no identifer, no isAccessibleForFree"
Dataset/allgood,argo-20220707.json,SHACL basic,pass,../OtherResources/GeoCodesv1Shapes.ttl,,,
Dataset/allgood,earthchem_1572.json,SHACL basic,warning,../OtherResources/GeoCodesv1Shapes.ttl,,,fix contextURI (was https); warning--data set identifier missing (looks like they put in @id)
Dataset/allgood,MB_iris_syngine.json,SHACL basic,warning,../OtherResources/GeoCodesv1Shapes.ttl,,,missing isAccessibleForFree
Dataset/allgood,MB_lipdverse_HypkanaHajkova2016.json,SHACL basic,warning,../OtherResources/GeoCodesv1Shapes.ttl,,,missing isAccessibleForFree; info-identifier in PropertyValue; fix sdo context URI
Dataset/allgood,opentopo1.json,SHACL basic,info,../OtherResources/GeoCodesv1Shapes.ttl,,,fix sdo content uri; info-identifier in PropertyValue
Dataset/allgood,argo-20220707.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,argoSimple-v1Shapes.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,bcodmo1-20220707,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,bcodmo1,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,MB_amgeo_data-01-06-2013-17-30-00.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,argo-20220707.json,json schema,fail,../schemas/GeoCodes-DatasetSchema.json,,,"webAPI and webSite distributions don't have encoding format; this should be info only, record is basically valid"
Dataset/allgood,earthchem_1572.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,MB_iris_syngine.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,MB_lipdverse_HypkanaHajkova2016.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,opentopo1.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
Dataset/allgood,argo-20220707.json,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,
