,subj,g,resourceType,name,description,pubname,placenames,kw,datep,disurl,score
0,https://cchdo.ucsd.edu/cruise/49SU9402_2#bottle,urn:ed2951175523219d05de578b6065cea156c68545,data,JP Hydrographic Cruise 49SU9402_2: Bottle Dataset,Bottle data from the hydrographic cruise 49SU9402_2,CCHDO,,,,,
1,https://cchdo.ucsd.edu/cruise/49SU9402_2#ctd,urn:ed2951175523219d05de578b6065cea156c68545,data,JP Hydrographic Cruise 49SU9402_2: CTD dataset,CTD data from the hydrographic cruise 49SU9402_2,CCHDO,,,,,
2,https://doi.org/10.7283/T5P55KQ3,urn:d8e168385b0f8e0c562af2c185d804e6a35aa248,data,,GPS/GNSS station: Long-term continuous or semi-continuous occupation at a single location,"UNAVCO, Inc.",,,,,
3,metadata:doi:10.17603/ds2-q6cf-mb79,urn:9a17d3fe8da1fe10866333f856986df012bff341,data,Shake-table Tests of A Half-scale Seven-story RC Structure with Stiffness and Damage Irregularities (Specimen-1),"A half-scale seven-story structure (Specimen-1) was tested on the high-performance shake table in the NCREE Tainan Laboratory. The tests aimed to investigate inelastic torsional response under uni-directional seismic excitation due to torsional stiffness irregularity (Series-1A) and unsymmetric damage (i.e. Series-1B with Damage Irregularity). In Series-1A, an unreinforced masonry infill wall was installed in one edge (West) of the first story of the structure, which resulted in high drift demand in the flexible East frame. Series-1B tested a system with damage irregularity caused by torsional response in Series-1A. The test data will be valuable to validate numerical analysis for the specimen as well as to improve seismic assessment for existing buildings subjected to inelastic torsional response.  ** *** description should describe whats actually in the dataset... This dataset contains results from the analysis of two specimens including sensor information and the resulting specimen reports, 45 experiment runs, three model configurations, and a project report. Each experiment event is documented by raw and processed csv tabular data [what are the fields in the tables????], video of the experiment, and GM acceleration and displacment data in csv tables. ",Designsafe-CI,,,2021-03-25T11:26:17.356-05:00,,
4,t1034,urn:11316929f925029101493e8a05d043b0ae829559,data,AMGeO Assimilative Maps for 2015-03-17T18:00:00,AMGeO Assimilative Maps,,,,,,
5,https://www.bco-dmo.org/project/2039,urn:261c022db9edea9e4fc025987f1826ee7a704f06,Research Project,U.S. GLOBEC Southern Ocean,"The fundamental objectives of United States Global Ocean Ecosystems Dynamics (U.S. GLOBEC) Program are dependent upon the cooperation of scientists from several disciplines. Physicists, biologists, and chemists must make use of data collected during U.S. GLOBEC field programs to further our understanding of the interplay of physics, biology, and chemistry. Our objectives require quantitative analysis of interdisciplinary data sets and, therefore, data must be exchanged between researchers. To extract the full scientific value, data must be made available to the scientific community on a timely basis.
",,,,,,
6,https://www.bco-dmo.org/project/2039,urn:b2fb074695be7e40d5ad5d524d92bba32325249b,Research Project,U.S. GLOBEC Southern Ocean,"The fundamental objectives of United States Global Ocean Ecosystems Dynamics (U.S. GLOBEC) Program are dependent upon the cooperation of scientists from several disciplines. Physicists, biologists, and chemists must make use of data collected during U.S. GLOBEC field programs to further our understanding of the interplay of physics, biology, and chemistry. Our objectives require quantitative analysis of interdisciplinary data sets and, therefore, data must be exchanged between researchers. To extract the full scientific value, data must be made available to the scientific community on a timely basis.
",,,,,,
7,http://lipdverse.org/Temp12k/1_0_2/Hypkana.Hajkova.2016.html,urn:ce020471830dc75cb1639eae403a883f9072bb60,data,Hypkana.Hajkova.2016,"This dataset from Hypkana (Europe>Eastern Europe>Slovakia) is derived from a LakeSediment archive, and includes data on temperature, uncertainty, reliable, and Commentregardingreliability1. The data are relevant to the time interval from 13074 to 5070 (BP).",,Hypkana,"Commentregardingreliability1, reliable, temperature, uncertainty",,,
8,http://lipdverse.org/Temp12k/1_0_2/Svartvatnet-Norway.Seppa.2009.html,urn:509e465d0793506b237cea8069c3cb2d276fe9c2,data,Svartvatnet-Norway.Seppa.2009,"This dataset from Svartvatnet-Norway (Europe>Northern Europe>Scandinavia>Norway) is derived from a LakeSediment archive, and includes data on temperature. The data are relevant to the time interval from 8938 to -37 (BP).",,Svartvatnet-Norway,temperature,,,
9,https://cchdo.ucsd.edu/cruise/49SU9402_2,urn:ed2951175523219d05de578b6065cea156c68545,DataCatalog,JP Hydrographic Cruise 49SU9402_2,Data from the hydrographic cruise 49SU9402_2,,,"bottle, ctd, Kouji Hayashi, pacific, Pacific Current Meter, Pacific Repeat, PCM05, PR17, SHUMPU MARU, West Pacific, WOCE",,https://cchdo.ucsd.edu/data/7409/pr17_mdo.txt,
10,https://doi.org/10.1594/IEDA/100621,urn:8d045db20860bef9ddb33e856f95c31d6eca8206,data,Mineralogy and sedimentation of the deep-sea sediment fine fraction in the Atlantic Ocean and adjacent seas and oceans,"This dataset consists of XRD clay mineralogy data of <2 micron and 2-20 micron fraction deep-sea sediments from the Atlantic, Antarctic, western Indian Oceans and adjacent seas. Digitization and preservation of this dataset is made possible through the NSF funded IEDA-CCNY data internship program.",EarthChem Library,,"Atlantic Ocean,Global,XRD,clay mineralogy",,,
11,https://doi.org/10.26022/IEDA/111572,urn:8e590ac37fd8ff4442522304057a328fad5f5098,data,Chemical compositions and analyses of Mn oxides - transformation from Co-containing vernadite to nsutite and hollandite,"This dataset accompanies the Wu et al. manuscript entitled ""Transformation from Co-containing vernadite to nsutite and hollandite: Implications for the retention of Co in Mn Oxides with small tunnel sizes"". The dataset contains: 1) Chemical compositions, 2) XAS data at Mn and Co K-edges, 3) XRD data, and 4) Chemical analyses upon nitric acid treatment.
",EarthChem Library,,"Mn oxides,Phyllomanganate,Tectomanganate,Co",,,
12,https://ds.iris.edu/ds/products/syngine/,urn:fe3c7c4f7ca08495b8962e079920c06676d5a166,data,On demand custom 3D AxiSEM synthetic seismograms,The *Synthetics Engine* (Syngine) service provides access to custom tailored synthetic seismograms for selected *Earth* and *Mars* models.,,,"Green's functions,SAC,seismic,geophysics,Earth Models,mars,miniSEED,Syngine,AxiSEM,Synthetics,seismology,Mars Models,Instaseis",,,
