formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
Apache Accumulo,DATA,,,TRUE,,,ECRR,,,,,DATA,
Apache Avro,DATA,,,TRUE,,,ECRR,,,,,DATA,
Apache Parquet file,DATA,application/octet-stream;type=Parquet,application/octet-stream;type=Parquet,TRUE,application/octet-stream,,ECRR,,,application/octet-stream;type=Parquet,,DATA,
application/seismic-segy,DATA,application/octet-stream;type=seismic-segy,application/octet-stream;type=seismic-segy,TRUE,application/octet-stream,application/octet-stream;type=seismic-segy,DATA,,,,,,
ATOM-1.0,DATA,http://www.w3.org/2005/Atom,http://www.w3.org/2005/Atom,TRUE,application/atom+xml,atom,DataOne,,,,http://www.w3.org/2005/Atom,DATA,
ATSR,DATA,application/octet-stream;type=AATSR-Sentinel-3,application/octet-stream;type=AATSR-Sentinel-3,TRUE,application/octet-stream,,ECRR,,,application/octet-stream;type=AATSR-Sentinel-3,,DATA,
Automatic Weather Station (AWS) XML,DATA,application/xml;type=aws,,FALSE,application/xml,,ECRR,,,,,DATA,
BagIt File Packaging Format Version 0.97,Wrapper,application/zip;type=bagit-097,application/bagit-097,FALSE,application/zip,zip,DataOne,,,,application/bagit-097,DATA,
Bagit package,Wrapper,application/zip;type=bagit,application/zip;type=bagit,TRUE,application/zip,zip,ECRR,,,application/zip;type=bagit,,Wrapper,
BEAM-DIMAP,DATA,,,TRUE,,,ECRR,,,,,DATA,
"Binary data, generic octet stream",DATA,application/octet-stream,application/octet-stream,TRUE,application/octet-stream,data,DataOne; IANA,,"iana registered. The ""octet-stream"" subtype is used to indicate that a body contains arbitrary binary data.",application/octet-stream,application/octet-stream,DATA,
Bitmap Image File,DATA,image/bmp,image/bmp,TRUE,image/bmp,bmp,DataOne; IANA,,,image/bmp,image/bmp,DATA,
Bluesky data model document format,DATA,application/json;type=BlueSky1.17,application/json;type=BlueSky1.17,TRUE,application/json,,ECRR,,bluesky data model,application/json;type=BlueSky1.17,,,
Bourne shell script,Code,application/x-shellscript,application/x-sh,FALSE,application/x-sh,sh,DataOne,application/x-sh,Unix shell script. Informal media type,,application/x-sh,code,
Bzip2 Compressed File,Wrapper,application/x-bzip2,application/x-bzip2,TRUE,application/x-bzip2,zip,DataOne;https://en.wikipedia.org/wiki/Bzip2,,,,application/x-bzip2,Wrapper,
CESM Large Ensemble,DATA,,,TRUE,,,ECRR,,,,,DATA,
